rank_13,rank_12,institution,country,size,focus,research,age,status,academic_reputation_score_13,academic_reputation_rank_13,employer_reputation_score_13,employer_reputation_13_rank,faculty_student_score__13,faculty_student_rank_13,citations_per_faculty_score_13,citations_per_faculty_rank_13,intl_faculty_score_13,intl_faculty_rank_13,intl_students_score_13,intl_students_rank_13,overall_score_13
26,23,UNIVERSITY OF HONG KONG (HKU),HK,L,FC,VH,5,A,99.4,28,93.1,48,94.7,60,51.7,239,100.0,19,98.7,26,88.6
27,24,AUSTRALIAN NATIONAL UNIVERSITY (ANU),AU,L,CO,VH,4,A,99.7,23,92.4,51,83.4,118,63.2,158,99.9,33,94.1,62,88.5
28,34,ECOLE NORMALE SUPÉRIEURE PARIS (ENS PARIS),FR,S,SP,VH,5,B,89.7,66,77.4,118,97.1,48,94.3,40,58.7,228,52.1,247,87.8
29,27,NORTHWESTERN UNIVERSITY,US,L,FC,VH,5,B,92.9,57,90.7,58,87.2,99,99.5,16,12.0,401,55.4,228,87.3
30,28,UNIVERSITY OF BRISTOL,GB,L,FC,VH,5,A,92.2,61,98.3,26,78.6,134,78.1,93,83.7,134,81.0,117,86.6
31,36,THE UNIVERSITY OF MELBOURNE,AU,XL,FC,VH,5,A,99.8,21,100.0,10,50.1,301,84,74,81.5,147,96.6,46,86.0
32,30,THE UNIVERSITY OF TOKYO,JP,L,FC,VH,5,A,100.0,7,99.3,18,91.4,78,76.3,99,11.1,401,27.3,401,85.7
33,32,THE UNIVERSITY OF MANCHESTER,GB,XL,FC,VH,5,A,99.2,30,100.0,11,66.2,181,64.7,144,84.5,127,96.0,52,85.2
34,33,THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST),HK,M,CO,VH,2,A,93.3,55,90.6,60,86.5,103,52.6,233,100.0,10,98.6,27,84.4
35,35,KYOTO UNIVERSITY,JP,L,FC,VH,5,A,99.9,17,92.1,53,94.8,59,68.4,124,16.5,401,22.9,401,84.1
35,37,SEOUL NATIONAL UNIVERSITY (SNU),KR,L,FC,VH,4,A,98.7,32,93.6,46,87.0,101,60.9,173,47.2,269,60.4,206,84.1
37,38,UNIVERSITY OF WISCONSIN-MADISON,US,XL,FC,VH,5,A,97.4,40,69.7,144,91.8,77,68.7,118,56.9,231,36.0,360,83.0
38,39,THE UNIVERSITY OF SYDNEY,AU,XL,FC,VH,5,A,99.5,27,98.0,31,50.1,302,68.4,123,99.7,39,87.2,97,82.9
39,40,THE CHINESE UNIVERSITY OF HONG KONG (CUHK),HK,L,FC,VH,4,A,94.5,50,83.3,91,87.9,95,47.1,265,95.8,61,81.7,114,82.3
40,31,UNIVERSITY OF CALIFORNIA LOS ANGELES (UCLA),US,XL,FC,VH,4,A,100.0,8,98.0,28,47.7,328,100,7,2.3,401,43.6,303,81.9
41,41,ECOLE POLYTECHNIQUE PARISTECH,FR,S,CO,VH,5,A,74.1,122,97.5,34,99.9,18,66.2,132,72.0,185,91.4,76,81.1
41,47,NANYANG TECHNOLOGICAL UNIVERSITY (NTU),SG,L,CO,VH,2,A,92.4,60,94.1,42,90.1,85,33,368,100.0,9,97.1,39,81.1
43,46,THE UNIVERSITY OF QUEENSLAND (UQ),AU,XL,FC,VH,5,A,95.7,46,91.9,55,49.8,306,69.3,117,98.8,43,86.8,99,80.9
44,43,NEW YORK UNIVERSITY (NYU),US,XL,FC,VH,5,B,98.4,35,92.0,54,94.9,58,43.8,286,23.5,401,60.0,208,80.8
45,51,UNIVERSITY OF COPENHAGEN,DK,L,FC,VH,5,A,89.0,69,78.9,112,99.7,27,57.4,201,67.5,200,37.5,348,80.5
46,44,PEKING UNIVERSITY,CN,L,FC,VH,5,A,99.8,19,98.8,21,79.0,131,46.5,267,64.5,210,32.1,384,80.0
47,42,BROWN UNIVERSITY,US,M,FC,VH,5,B,81.1,95,65.5,171,85.2,111,97.6,29,23.5,401,55.8,227,79.8
48,48,TSINGHUA UNIVERSITY,CN,XL,FC,VH,5,A,99.3,29,99.1,20,88.6,92,38.3,323,48.7,263,38.9,340,79.7
49,45,UNIVERSITY OF BRITISH COLUMBIA,CA,XL,FC,VH,5,A,99.6,26,86.5,77,35.4,401,83.4,76,83.4,135,53.5,239,79.4
50,55,RUPRECHT-KARLS-UNIVERSITÄT HEIDELBERG,DE,XL,FC,VH,5,A,96.4,43,64.1,180,86.0,110,55.6,212,52.7,248,61.6,200,79.3
51,54,UNIVERSITY OF GLASGOW,GB,L,FC,VH,5,A,86.4,73,80.1,106,52.7,276,85.9,66,81.2,149,84.7,109,78.9
52,52,THE UNIVERSITY OF NEW SOUTH WALES (UNSW),AU,XL,FC,VH,4,A,96.5,42,98.6,24,40.2,401,61.2,172,100.0,24,95.8,55,78.8
53,53,TECHNISCHE UNIVERSITÄT MÜNCHEN,DE,XL,CO,VH,5,A,90.7,65,96.1,35,95.5,56,39.1,317,51.0,254,57.7,216,78.5
54,57,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,US,L,FC,VH,5,A,83.9,85,56.3,233,78.8,133,92.4,50,43.6,285,22.1,401,77.0
55,50,OSAKA UNIVERSITY,JP,L,FC,VH,4,A,91.7,64,80.5,105,93.2,68,57.7,197,14.9,401,19.9,401,76.9
56,56,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,US,XL,FC,VH,5,A,97.9,38,77.5,117,23.6,401,91.3,54,67.6,199,62.6,198,76.7
57,49,CARNEGIE MELLON UNIVERSITY,US,M,FC,VH,5,B,85.8,76,82.6,95,46.4,346,93.4,43,18.6,401,98.0,36,76.6
58,62,UNIVERSITY OF AMSTERDAM,NL,XL,FC,VH,5,A,93.8,53,83.9,90,41.1,401,85.7,67,67.0,201,30.6,395,76.4
59,59,UNIVERSITY OF WASHINGTON,US,XL,FC,VH,5,A,95.2,47,54.6,250,54.7,256,99.5,15,8.7,401,22.3,401,76.2
60,63,KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,KR,M,CO,VH,3,A,85.1,79,72.8,137,90.8,82,64.5,146,40.7,303,21.8,401,75.8
61,67,TRINITY COLLEGE DUBLIN (TCD),IE,L,FC,VH,5,A,81.8,91,82.6,96,59.8,221,65.4,136,98.0,46,78.7,130,75.1
62,77,UNIVERSITY OF BIRMINGHAM,GB,L,FC,VH,5,A,81.3,94,90.4,63,57.3,239,67.4,128,81.6,144,80.0,122,74.9
63,70,UNIVERSITY OF CALIFORNIA SAN DIEGO (UCSD),US,L,FC,VH,4,A,98.0,37,50.4,289,45.5,355,99.8,11,2.1,401,22.3,401,74.8
64,58,THE UNIVERSITY OF WARWICK,GB,L,FC,VH,3,A,89.4,68,100.0,13,47.1,337,47.7,261,91.6,92,98.0,35,74.5
65,60,LUDWIG-MAXIMILIANS-UNIVERSITÄT MÜNCHEN,DE,XL,FC,VH,5,A,98.4,34,84.3,89,45.4,357,63.8,154,46.3,274,43.0,309,74.4
66,65,TOKYO INSTITUTE OF TECHNOLOGY,JP,M,CO,VH,5,A,79.8,101,84.6,86,76.8,136,78.3,92,15.0,401,35.1,367,74.2
67,71,LUND UNIVERSITY,SE,L,FC,VH,5,A,89.6,67,90.0,64,50.8,292,67.7,127,51.4,251,52.4,244,74.0
68,69,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE),GB,M,SP,VH,5,A,92.6,58,100.0,4,63.5,198,19.6,401,100.0,17,100.0,4,73.9
69,61,MONASH UNIVERSITY,AU,XL,FC,VH,4,A,94.1,52,98.0,27,34.6,401,50.1,245,89.5,104,90.7,80,73.7
69,78,UNIVERSITY OF HELSINKI,FI,L,CO,VH,5,A,84.3,82,55.7,240,92.9,70,59.9,178,56.8,233,14.7,401,73.7
71,66,THE UNIVERSITY OF SHEFFIELD,GB,L,FC,VH,5,A,79.3,102,84.7,84,59.4,228,62,163,80.4,154,91.4,75,73.3
71,74,UNIVERSITY OF GENEVA,CH,L,FC,VH,5,A,66.6,151,36.9,401,64.8,190,98.9,21,100.0,23,99.0,25,73.3
71,68,UNIVERSITY OF TEXAS AT AUSTIN,US,XL,FC,VH,5,A,98.5,33,87.9,69,21.1,401,82,80,57.9,229,26.5,401,73.3
74,75,LEIDEN UNIVERSITY,NL,L,FC,VH,5,A,86.6,71,59.8,206,44.5,369,94.3,41,68.8,195,22.7,401,73.2
75,72,THE UNIVERSITY OF NOTTINGHAM,GB,XL,FC,VH,5,A,80.3,98,98.0,30,54.8,255,56.5,208,84.8,125,87.7,94,73.1
75,75,TOHOKU UNIVERSITY,JP,L,FC,VH,5,A,81.8,90,76.0,125,97.9,46,54.9,217,18.5,401,21.2,401,73.1
77,82,KATHOLIEKE UNIVERSITEIT LEUVEN,BE,XL,FC,VH,5,A,93.1,56,79.6,107,21.7,401,86.2,64,74.9,174,44.3,301,73.0
78,90,UNIVERSITY OF ZURICH,CH,L,FC,VH,5,A,80.6,96,67.6,156,70.9,160,59.2,183,99.7,38,52.2,246,72.9
79,64,BOSTON UNIVERSITY,US,L,FC,VH,5,B,75.6,115,81.5,103,64.9,189,85.3,68,12.7,401,63.7,193,72.5
79,81,UPPSALA UNIVERSITY,SE,L,FC,VH,5,A,86.3,74,70.1,143,38.6,401,92.5,48,41.0,301,48.9,270,72.5
81,85,UTRECHT UNIVERSITY,NL,XL,FC,VH,5,A,84.9,80,63.2,185,46.5,344,93.7,42,55.7,236,18.1,401,72.3
82,80,NATIONAL TAIWAN UNIVERSITY (NTU),TW,XL,FC,VH,4,A,97.5,39,76.4,121,39.9,401,77.4,95,17.5,401,14.9,401,72.0
83,93,UNIVERSITY OF ST ANDREWS,GB,M,FC,VH,5,A,66.2,154,78.4,114,67.8,175,68.5,122,95.9,58,99.9,16,71.6
84,79,THE UNIVERSITY OF WESTERN AUSTRALIA (UWA),AU,L,FC,VH,5,A,77.5,111,79.2,110,38.6,401,78.8,88,99.9,31,75.2,146,71.4
85,100,UNIVERSITY OF CALIFORNIA DAVIS (UCD),US,XL,FC,VH,5,A,83.8,86,48.6,304,38.7,401,96.9,33,68.9,192,41.3,320,71.3
86,73,UNIVERSITY OF SOUTHAMPTON,GB,L,FC,VH,5,A,73.9,123,65.8,168,61.0,212,67.9,125,87.0,117,89.2,88,71.0
86,84,WASHINGTON UNIVERSITY IN ST. LOUIS,US,L,FC,VH,5,B,62.1,165,36.7,401,99.8,23,96.7,35,7.2,401,50.6,260,71.0
88,90,FUDAN UNIVERSITY,CN,L,FC,VH,5,A,92.5,59,92.9,49,40.4,401,64.9,142,18.3,401,46.5,285,70.8
89,111,UNIVERSITY OF OSLO,NO,L,FC,VH,5,A,72.4,131,50.8,282,83.2,119,75.4,103,46.3,273,44.5,298,70.6
90,92,DURHAM UNIVERSITY,GB,L,FC,HI,5,A,75.3,117,98.7,23,48.9,312,60.4,175,89.7,101,76.3,137,70.4
91,89,AARHUS UNIVERSITY,DK,L,FC,VH,4,A,75.1,118,60.1,203,59.9,220,80,85,66.9,202,53.7,237,70.3
92,99,ERASMUS UNIVERSITY ROTTERDAM,NL,L,FO,VH,5,A,54.5,196,91.5,56,68.7,171,93.2,44,75.4,172,57.2,219,70.2
92,114,UNIVERSITÉ DE MONTRÉAL,CA,XL,FC,VH,5,A,79.0,105,59.6,211,37.3,401,82.4,78,87.0,116,82.6,113,70.2
94,83,THE UNIVERSITY OF AUCKLAND,NZ,L,FC,VH,5,A,92.1,62,88.0,68,27.9,401,47.1,264,89.7,102,89.1,89,69.8
95,103,DELFT UNIVERSITY OF TECHNOLOGY,NL,L,FO,VH,5,A,79.8,100,81.8,98,36.6,401,67.3,129,90.2,98,74.8,149,69.4
96,108,UNIVERSITY OF ALBERTA,CA,XL,FC,VH,5,A,77.8,110,59.6,210,61.5,208,57.6,199,90.5,97,72.9,154,69.3
97,109,UNIVERSITY OF GRONINGEN,NL,L,FC,VH,5,A,66.4,152,57.3,228,73.8,152,63.9,151,91.9,91,90.2,83,69.2
97,94,UNIVERSITY OF LEEDS,GB,L,FC,VH,5,A,81.3,93,87.3,73,48.2,322,52.5,234,77.8,164,72.6,157,69.2
99,88,GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH),US,L,CO,VH,5,A,76.2,113,82.9,93,18.8,401,99.6,14,41.6,290,72.1,160,68.4
99,86,NAGOYA UNIVERSITY,JP,L,FC,VH,5,A,72.3,133,64.7,176,94.1,65,57,206,21.8,401,28.8,401,68.4
99,95,PURDUE UNIVERSITY,US,XL,FC,VH,5,A,78.6,108,82.8,94,35.5,401,63.7,155,95.1,69,77.2,135,68.4
102,106,UNIVERSITÄT FREIBURG,DE,L,FC,VH,5,A,79.2,103,39.1,401,59.6,223,75.1,104,59.0,224,43.1,308,67.9
102,104,UNIVERSITY OF MINNESOTA,US,XL,FC,VH,5,A,83.1,88,50.0,291,35.6,401,99.4,19,6.1,401,41.4,319,67.9
104,95,CITY UNIVERSITY OF HONG KONG,HK,M,CO,VH,3,A,67.0,147,55.1,244,80.5,125,47.9,257,100.0,18,89.4,86,67.7
104,102,THE UNIVERSITY OF ADELAIDE,AU,L,FC,VH,5,A,74.8,119,78.7,113,47.7,327,54.9,216,91.5,93,91.6,74,67.7
106,98,UNIVERSITY OF PITTSBURGH,US,L,FC,VH,5,A,55.7,192,25.3,401,94.2,63,91.5,53,68.1,196,39.0,338,67.6
107,101,PENNSYLVANIA STATE UNIVERSITY,US,XL,FC,VH,5,A,82.4,89,85.8,78,34.5,401,80.6,83,12.7,401,40.5,328,67.5
107,97,POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY (POSTECH),KR,S,FO,VH,3,B,51.7,212,54.7,248,99.9,22,86.4,63,59.1,223,18.2,401,67.5
109,87,FREIE UNIVERSITÄT BERLIN,DE,XL,FC,HI,4,A,93.4,54,62.2,189,29.6,401,58.9,186,51.8,249,55.4,229,66.9
110,121,UNIVERSITY OF BASEL,CH,L,FC,VH,5,A,54.3,198,44.7,338,60.3,218,93.1,46,100.0,16,81.3,116,66.2
111,115,UNIVERSITY OF LAUSANNE,CH,M,CO,VH,5,A,51.8,211,44.5,339,61.7,207,96.2,36,93.2,82,89.7,85,66.1
112,129,UNIVERSITÉ PIERRE ET MARIE CURIE (UPMC),FR,L,CO,VH,5,A,72.4,130,48.2,307,49.6,309,84.5,71,36.6,328,63.6,195,65.9
113,105,OHIO STATE UNIVERSITY,US,XL,FC,VH,5,A,78.9,107,59.5,213,45.8,353,63.9,152,82.4,140,40.6,327,65.8
114,112,YONSEI UNIVERSITY,KR,L,FC,VH,5,B,76.3,112,82.0,97,86.2,106,31,386,16.3,401,37.4,351,65.1
115,147,QUEEN MARY UNIVERSITY OF LONDON (QMUL),GB,L,FC,VH,5,A,63.4,160,53.5,259,68.6,172,52.7,230,95.5,64,96.7,43,64.8
116,141,KIT KARLSRUHER INSTITUT FÜR TECHNOLOGIE,DE,L,CO,VH,4,A,66.0,155,92.3,52,92.1,76,24.5,401,54.5,242,55.1,232,64.7
116,117,UNIVERSITY OF MARYLAND COLLEGE PARK,US,XL,FC,VH,5,A,69.4,140,47.1,312,64.6,192,77,97,37.3,324,36.0,359,64.7
118,142,KTH ROYAL INSTITUTE OF TECHNOLOGY,SE,L,CO,VH,5,A,61.9,166,83.1,92,69.0,167,46,270,86.9,118,76.9,136,64.5
119,113,DARTMOUTH COLLEGE,US,M,FC,VH,5,B,43.6,269,65.6,169,86.5,104,97.1,32,10.3,401,53.5,238,64.1
120,116,LOMONOSOV MOSCOW STATE UNIVERSITY,RU,XL,FC,VH,5,A,84.1,83,64.8,173,99.9,17,6.3,401,8.7,401,37.3,352,63.9
121,107,MAASTRICHT UNIVERSITY,NL,L,CO,VH,3,A,37.3,339,81.4,104,76.5,139,76.8,98,96.3,57,99.9,14,63.8
122,148,UNIVERSITY OF GHENT,BE,XL,FC,VH,5,A,66.8,150,60.9,198,86.9,102,45,278,56.4,234,29.6,401,63.7
123,125,SHANGHAI JIAO TONG UNIVERSITY,CN,XL,FC,VH,5,A,83.6,87,90.7,57,41.1,401,54.9,218,20.4,401,12.3,401,63.6
124,110,UNIVERSITY OF YORK,GB,L,FC,HI,4,A,72.5,129,72.9,136,44.8,363,57.3,203,47.9,267,82.9,111,63.5
125,134,UNIVERSITY OF SOUTHERN CALIFORNIA,US,XL,FC,VH,5,B,67.1,145,59.7,207,55.3,252,72.7,112,20.1,401,71.7,164,63.2
126,130,HUMBOLDT-UNIVERSITÄT ZU BERLIN,DE,L,FC,HI,5,A,97.2,41,58.5,223,29.2,401,38.7,320,48.7,264,43.4,306,63.1
127,139,UNIVERSIDADE DE SÃO PAULO (USP),BR,XL,FC,VH,4,A,94.2,51,87.6,70,36.8,401,40.5,308,11.4,401,5.7,401,63.0
128,119,GEORG-AUGUST-UNIVERSITÄT GÖTTINGEN,DE,L,FC,VH,5,A,76.0,114,38.6,401,81.1,123,40.4,309,44.5,282,35.8,363,62.8
129,126,NEWCASTLE UNIVERSITY,GB,L,FC,VH,4,A,50.4,220,77.0,119,64.8,191,63.8,153,82.1,142,91.0,79,62.5
130,118,UNIVERSITY OF CALIFORNIA SANTA BARBARA (UCSB),US,L,CO,VH,5,A,81.6,92,16.6,401,14.3,401,99.9,10,66.6,204,30.3,401,62.2
130,124,UNIVERSITY OF LIVERPOOL,GB,L,FC,VH,5,A,56.0,191,76.1,122,62.0,205,57.3,202,77.1,167,85.9,103,62.2
132,123,UNIVERSITY OF VIRGINIA,US,L,FC,VH,5,A,53.5,202,64.8,174,68.7,170,78.7,90,49.8,255,39.7,334,62.1
133,128,KYUSHU UNIVERSITY,JP,L,FC,VH,5,A,66.8,149,75.2,128,98.0,43,29.5,400,17.8,401,23.8,401,62.0
134,144,EBERHARD KARLS UNIVERSITÄT TÜBINGEN,DE,L,FC,VH,5,A,66.9,148,55.8,238,89.5,89,37.6,330,35.1,334,41.2,322,61.8
134,132,TECHNICAL UNIVERSITY OF DENMARK,DK,M,FO,VH,5,A,41.5,290,49.7,293,98.4,40,60.4,176,92.7,85,72.6,158,61.8
136,143,CARDIFF UNIVERSITY,GB,L,FC,VH,5,A,60.2,176,66.3,166,63.8,197,53.7,227,72.5,181,72.7,155,61.7
136,120,RICE UNIVERSITY,US,M,FC,VH,5,B,48.3,236,24.5,401,67.6,176,97.2,30,64.2,212,70.7,168,61.7
138,127,UNIVERSITÉ CATHOLIQUE DE LOUVAIN (UCL),BE,L,FC,HI,5,B,75.5,116,68.5,148,40.0,401,43.3,290,81.0,151,66.6,185,61.3
139,131,UNIVERSITY COLLEGE DUBLIN (UCD),IE,L,FC,VH,5,A,61.5,169,66.7,163,54.6,259,46.4,269,93.3,81,96.5,47,61.2
140,152,MCMASTER UNIVERSITY,CA,L,FC,VH,5,A,60.4,173,52.3,267,39.3,401,84,75,82.4,141,51.8,249,61.0
141,122,EMORY UNIVERSITY,US,L,FC,VH,5,B,42.7,275,30.8,401,87.8,96,99.4,17,18.1,401,43.5,305,60.9
141,140,HEBREW UNIVERSITY OF JERUSALEM,IL,L,FC,VH,4,A,68.0,144,37.5,401,73.4,154,65.7,135,28.2,376,9.2,401,60.9
143,136,RADBOUD UNIVERSITY NIJMEGEN,NL,L,FC,VH,4,A,44.2,263,52.9,261,75.1,144,89.6,56,57.2,230,36.8,355,60.8
144,138,HOKKAIDO UNIVERSITY,JP,L,FC,VH,5,A,64.9,157,61.2,194,88.0,94,45.3,277,13.5,401,18.8,401,60.6
145,137,KOREA UNIVERSITY,KR,L,FC,VH,5,B,71.2,136,77.7,116,79.9,127,27.3,401,19.1,401,32.0,386,60.5
145,154,UNIVERSITY OF CAPE TOWN,ZA,L,FC,VH,5,A,68.7,142,65.5,170,34.2,401,65.4,137,68.8,194,57.2,220,60.5
147,150,RHEINISCH-WESTFÄLISCHE TECHNISCHE HOCHSCHULE AACHEN,DE,XL,FC,VH,5,A,74.6,120,94.4,40,38.1,401,43.4,289,38.9,313,48.0,276,60.1
148,162,UNIVERSITY OF ABERDEEN,GB,L,FC,HI,5,A,53.6,200,50.6,287,53.6,266,66.2,131,89.4,105,94.9,59,59.9
149,155,UNIVERSITY OF CALIFORNIA IRVINE (UCI),US,L,FC,VH,3,A,66.4,153,40.4,386,25.5,401,98.1,26,53.1,247,28.7,401,59.6
150,161,WAGENINGEN UNIVERSITY,NL,M,FO,VH,4,A,49.6,227,41.2,372,100.0,10,43,292,46.5,272,86.2,101,59.4
151,145,UNIVERSITY OF BERGEN,NO,M,FC,VH,4,A,48.8,231,28.0,401,73.1,155,84.9,69,75.6,171,25.7,401,59.2
151,135,UNIVERSITY OF ROCHESTER,US,M,FC,VH,5,B,42.4,283,12.1,401,99.9,15,75.9,101,39.1,311,74.0,153,59.2
153,165,TEXAS A&M UNIVERSITY,US,XL,FC,VH,5,A,73.0,126,74.2,131,19.7,401,77.6,94,20.2,401,28.2,401,58.7
154,149,UNIVERSITY OF BERN,CH,L,CO,VH,5,A,40.0,308,44.7,336,87.1,100,65.7,134,99.0,42,44.5,297,58.4
155,133,UNIVERSITY OF OTAGO,NZ,L,FC,VH,5,A,62.2,164,56.6,230,30.7,401,62.3,161,100.0,14,76.2,138,58.2
156,163,LANCASTER UNIVERSITY,GB,M,FC,VH,3,A,60.3,175,68.2,151,41.6,397,48.9,252,84.4,130,91.9,72,58.1
157,158,EINDHOVEN UNIVERSITY OF TECHNOLOGY,NL,M,FO,VH,4,A,46.9,249,53.2,260,99.7,28,37.1,335,99.7,37,27.0,401,58.0
158,153,ECOLE NORMALE SUPÉRIEURE DE LYON,FR,S,CO,VH,5,A,59.4,181,28.4,401,100.0,8,28.9,401,58.9,225,42.8,311,57.7
158,160,UNIVERSITÄT WIEN,AT,L,FC,VH,5,A,84.0,84,45.0,333,26.9,401,26.2,401,85.3,123,89.3,87,57.7
160,157,UNIVERSITY OF COLORADO AT BOULDER,US,L,CO,VH,5,A,53.6,201,65.9,167,69.3,165,65.1,141,38.3,318,12.1,401,57.6
161,159,THE HONG KONG POLYTECHNIC UNIVERSITY,HK,L,CO,VH,2,A,60.9,171,59.1,216,46.7,341,41.2,303,99.6,40,89.1,90,57.5
162,179,SUNGKYUNKWAN UNIVERSITY,KR,L,FC,VH,5,B,56.5,188,87.4,71,88.3,93,26.4,401,19.5,401,38.0,345,57.4
163,151,RHEINISCHE FRIEDRICH-WILHELMS-UNIVERSITÄT BONN,DE,L,FC,VH,5,A,70.1,139,33.4,401,69.0,168,45.4,275,15.5,401,41.9,315,57.3
163,146,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM),MX,XL,FC,VH,5,A,95.0,48,78.2,115,44.7,366,6.3,401,19.2,401,2.7,401,57.3
165,170,ZHEJIANG UNIVERSITY,CN,XL,FC,VH,5,A,72.6,128,72.9,135,30.0,401,64.4,147,14.7,401,20.4,401,57.2
166,195,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,CL,L,FC,HI,5,B,85.5,77,87.4,72,42.1,393,17.5,401,17.1,401,21.2,401,57.0
167,156,UNIVERSITI MALAYA (UM),MY,L,FC,VH,5,A,58.8,184,60.8,200,90.0,86,7.5,401,77.3,166,75.2,145,56.9
168,172,UNIVERSITÉ LIBRE DE BRUXELLES (ULB),BE,L,FC,HI,5,A,58.5,185,58.6,221,41.5,398,47.9,258,92.5,88,96.2,49,56.8
168,182,UNIVERSITY OF EXETER,GB,L,FC,HI,4,A,54.2,199,75.4,127,37.4,401,55.4,215,84.1,132,92.0,70,56.8
